bbox_label,category,latitude,longitude,tags
35.0_-81.0,traffic_signals,35.4454809,-80.6000341,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.3894330,-80.5920510,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
35.0_-81.0,traffic_signals,35.3998197,-80.6082527,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4311985,-80.5856206,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4420310,-80.5935310,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'both'}"
35.0_-81.0,traffic_signals,35.4926270,-80.6431750,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4899656,-80.6714579,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3545810,-80.9770780,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3543970,-80.9772930,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4986679,-80.9950717,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4787840,-80.9934440,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4431443,-80.9902182,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.2700820,-80.8541297,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.2758890,-80.8093306,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.1377305,-80.9070671,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.1275950,-80.6578860,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.1425212,-80.9306353,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.1424308,-80.9305504,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4836129,-80.8737337,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.1136060,-80.9223973,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
35.0_-81.0,traffic_signals,35.1153156,-80.9248441,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
35.0_-81.0,traffic_signals,35.2138544,-80.8307912,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
35.0_-81.0,traffic_signals,35.2396690,-80.9196770,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.2396750,-80.9195130,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.2053335,-80.7966441,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3318635,-80.7427881,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.3315838,-80.7232930,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.1015867,-80.7084207,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,crossing,35.1815607,-80.8887391,"{'crossing': 'unmarked', 'highway': 'crossing'}"
35.0_-81.0,traffic_signals,35.1028999,-80.8807479,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.2378257,-80.9200925,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.2377945,-80.9199600,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.1476689,-80.8957202,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.2334586,-80.8365872,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.4833871,-80.8759524,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.4310251,-80.8638559,"{'highway': 'traffic_signals', 'traffic_signals': 'signal'}"
35.0_-81.0,traffic_signals,35.1471283,-80.8963069,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.2513615,-80.8562795,{'highway': 'traffic_signals'}
35.0_-81.0,traffic_signals,35.2872000,-80.7306271,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
35.0_-81.0,traffic_signals,35.1539773,-80.9488267,"{'highway': 'traffic_signals', 'traffic_signals': 'signal', 'traffic_signals:direction': 'forward'}"
